Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,STENCIL,0.00001424,1,800000,4,256
CPU,STENCIL,0.00000000,1,800000,0,1
CPU,STENCIL,0.00000000,1,800000,1,1
CPU,STENCIL,0.00000000,1,800000,2,1
CPU,STENCIL,0.00000000,1,800000,3,1
CPU,STENCIL,0.00000000,1,800000,4,1
GPU,STENCIL,0.00004600,0,1600000,0,256
GPU,STENCIL,0.00004461,0,1600000,1,256
GPU,STENCIL,0.00004550,0,1600000,2,256
GPU,STENCIL,0.00004501,0,1600000,3,256
GPU,STENCIL,0.00004457,0,1600000,4,256
CPU,STENCIL,0.00687055,0,1600000,0,1
CPU,STENCIL,0.00675769,0,1600000,1,1
CPU,STENCIL,0.00676025,0,1600000,2,1
CPU,STENCIL,0.00678340,0,1600000,3,1
CPU,STENCIL,0.00673520,0,1600000,4,1
GPU,STENCIL,0.00002054,1,1600000,0,256
GPU,STENCIL,0.00002101,1,1600000,1,256
GPU,STENCIL,0.00003319,1,1600000,2,256
GPU,STENCIL,0.00002015,1,1600000,3,256
GPU,STENCIL,0.00001990,1,1600000,4,256
CPU,STENCIL,0.00000000,1,1600000,0,1
CPU,STENCIL,0.00000000,1,1600000,1,1
CPU,STENCIL,0.00000000,1,1600000,2,1
CPU,STENCIL,0.00000000,1,1600000,3,1
CPU,STENCIL,0.00000000,1,1600000,4,1
GPU,STENCIL,0.00001412,0,50000,0,1024
GPU,STENCIL,0.00001207,0,50000,1,1024
GPU,STENCIL,0.00001187,0,50000,2,1024
GPU,STENCIL,0.00001207,0,50000,3,1024
GPU,STENCIL,0.00001215,0,50000,4,1024
CPU,STENCIL,0.00039506,0,50000,0,1
CPU,STENCIL,0.00038882,0,50000,1,1
CPU,STENCIL,0.00039296,0,50000,2,1
CPU,STENCIL,0.00039259,0,50000,3,1
CPU,STENCIL,0.00039690,0,50000,4,1
GPU,STENCIL,0.00001074,1,50000,0,1024
GPU,STENCIL,0.00001008,1,50000,1,1024
GPU,STENCIL,0.00001044,1,50000,2,1024
GPU,STENCIL,0.00001097,1,50000,3,1024
GPU,STENCIL,0.00001017,1,50000,4,1024
